Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777570603,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777570604,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777570605,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777570607,150,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777570608,200,,Aggregated,0.000000,0.000000,3700,3800,3800,3800,3900,3900,3900,3900,3900,3900,3900,9,0,3700,3329.528051666633,2647.9942280002433,3947.1462709998377,30641.0
1777570609,250,,Aggregated,0.000000,0.000000,3700,4300,4400,4500,4600,4700,5000,5000,5000,5000,5000,64,0,3700,3857.6871201093336,2647.9942280002433,5043.47926499986,30641.0
1777570610,300,,Aggregated,1.800000,0.000000,4400,4500,4900,5100,5400,5800,5800,5800,6000,6000,6000,112,0,4300,4283.535862723178,2647.9942280002433,6015.878034999787,30641.0
1777570611,350,,Aggregated,1.800000,0.000000,4400,4500,4900,5100,5400,5800,5800,5800,6000,6000,6000,112,0,4300,4283.535862723178,2647.9942280002433,6015.878034999787,30641.0
1777570612,400,,Aggregated,15.571429,0.000000,4400,4600,4900,5100,5400,5800,5800,5800,6000,6000,6000,113,0,4400,4290.1856672388985,2647.9942280002433,6015.878034999787,30641.0
1777570613,450,,Aggregated,14.000000,0.000000,4800,5400,5700,5800,6600,6800,6900,7000,7100,7100,7100,192,0,4800,4904.6951807135165,2647.9942280002433,7060.768967000058,30641.0
1777570614,500,,Aggregated,12.444444,0.000000,5300,5700,6000,6300,6800,7000,7400,7600,7600,7600,7600,230,0,5300,5146.653450273889,2647.9942280002433,7647.154168999805,30641.0
1777570615,520,,Aggregated,17.500000,0.000000,5300,5700,6100,6300,6800,7000,7400,7600,7600,7600,7600,232,0,5300,5160.862702081871,2647.9942280002433,7647.154168999805,30641.0
1777570616,520,,Aggregated,17.500000,0.000000,5300,5700,6100,6300,6800,7000,7400,7600,7600,7600,7600,232,0,5300,5160.862702081871,2647.9942280002433,7647.154168999805,30641.0
1777570617,520,,Aggregated,23.100000,0.000000,5400,6000,6500,6800,7500,8100,8700,9200,9400,9400,9400,263,0,5400,5502.48734129655,2647.9942280002433,9367.4136489999,30641.0
1777570618,520,,Aggregated,23.200000,0.000000,5600,6400,6900,7500,8700,9100,9700,10000,10000,10000,10000,290,0,5600,5846.863719931006,2647.9942280002433,10209.617093999896,30641.0
1777570619,520,,Aggregated,24.800000,0.000000,5700,6600,7400,7600,9100,9600,10000,11000,11000,11000,11000,303,0,5700,6027.559741996669,2647.9942280002433,11210.914699000114,30641.0
1777570620,520,,Aggregated,26.700000,0.000000,5900,7300,8200,9100,10000,11000,11000,11000,11000,11000,11000,338,0,5900,6483.042390781043,2647.9942280002433,11210.914699000114,30641.0
1777570621,520,,Aggregated,23.700000,0.000000,6300,7600,9100,9700,11000,11000,11000,12000,12000,12000,12000,367,0,6300,6851.137153528589,2647.9942280002433,12038.729537000108,30641.0
1777570622,520,,Aggregated,19.900000,0.000000,6800,9100,10000,11000,11000,12000,12000,12000,13000,13000,13000,416,0,6700,7396.5031655721,2647.9942280002433,12616.162190000068,30641.0
1777570623,520,,Aggregated,23.200000,0.000000,7400,10000,11000,11000,12000,12000,12000,13000,13000,13000,13000,453,0,7400,7789.62876645032,2647.9942280002433,13116.430909999963,30641.0
1777570624,520,,Aggregated,25.600000,0.000000,7600,10000,11000,11000,12000,13000,13000,13000,14000,14000,14000,477,0,7600,8049.37005363521,2647.9942280002433,13567.5952710003,30641.0
1777570625,520,,Aggregated,24.400000,0.000000,8700,11000,12000,12000,13000,14000,14000,14000,14000,14000,14000,527,0,8700,8562.905051671712,2647.9942280002433,14301.259200999993,30641.0
1777570626,520,,Aggregated,22.800000,0.000000,9600,11000,12000,13000,14000,14000,14000,14000,15000,15000,15000,573,0,9600,8997.571011054091,2647.9942280002433,15335.099220000302,30641.0
1777570628,520,,Aggregated,29.600000,0.000000,10000,12000,13000,13000,14000,14000,14000,15000,15000,15000,15000,614,0,10000,9341.04156381921,2647.9942280002433,15335.099220000302,30641.0
1777570629,520,,Aggregated,32.500000,0.000000,10000,12000,13000,14000,14000,14000,15000,15000,15000,15000,15000,640,0,10000,9546.49271710155,2647.9942280002433,15335.099220000302,30641.0
1777570630,520,,Aggregated,33.700000,0.000000,11000,13000,14000,14000,14000,15000,15000,15000,16000,16000,16000,703,0,11000,10012.601390100986,2647.9942280002433,15522.87407599988,30641.0
1777570631,520,,Aggregated,34.700000,0.000000,11000,13000,14000,14000,15000,15000,15000,15000,16000,16000,16000,742,0,11000,10250.63099177492,2647.9942280002433,15856.318139999985,30641.0
1777570632,520,,Aggregated,38.800000,0.000000,11000,13000,14000,14000,15000,15000,15000,16000,16000,16000,16000,774,0,11000,10402.528444033576,2647.9942280002433,16404.148535999866,30641.0
