Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778336058,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778336059,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778336060,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778336061,150,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1,0,1952.0309239997005,1952.0309239997005,1952.0309239997005,1952.0309239997005,487649.0
1778336062,200,,Aggregated,0.000000,0.000000,3300,3600,3800,3800,3900,4000,4000,4000,4000,4000,4000,59,0,3300,3191.2632496101432,1952.0309239997005,3999.2016779997357,487649.0
1778336063,250,,Aggregated,0.000000,0.000000,3400,3700,3900,4000,4200,4300,4500,4500,4800,4800,4800,106,0,3400,3403.2797937547143,1952.0309239997005,4756.825972000115,487649.0
1778336064,290,,Aggregated,11.250000,0.000000,3400,3700,3900,4000,4200,4300,4500,4500,4800,4800,4800,120,0,3400,3423.2976769416846,1952.0309239997005,4756.825972000115,487649.0
1778336065,290,,Aggregated,19.800000,0.000000,3600,3800,3900,4000,4200,4300,4600,4800,4900,4900,4900,141,1,3600,3471.4368950283756,6.280765000155952,4928.774044999955,484190.4964539007
1778336066,290,,Aggregated,19.833333,0.000000,3800,4100,4300,4500,4900,5400,5700,5800,6000,6000,6000,223,1,3800,3812.468329385675,6.280765000155952,5979.5468290003555,485462.23318385653
1778336067,290,,Aggregated,18.857143,0.000000,3900,4200,4400,4600,4900,5400,5700,5800,6000,6000,6000,243,1,3900,3879.7903028806827,6.280765000155952,5979.5468290003555,485642.21399176953
1778336068,290,,Aggregated,26.375000,0.125000,3900,4200,4500,4600,5100,5600,5800,5900,6200,6200,6200,249,1,3900,3922.625524771106,6.280765000155952,6162.0236369999475,485690.5702811245
1778336069,290,,Aggregated,26.555556,0.111111,4000,4400,4700,5000,5600,5800,6000,6200,6800,6800,6800,289,13,4000,3927.747315882369,3.0876189994160086,6777.932869000324,465713.23183391005
1778336070,290,,Aggregated,24.700000,0.100000,4300,5000,5600,5700,6100,6300,6700,6800,6900,6900,6900,362,13,4200,4347.098209524882,3.0876189994160086,6925.923598000736,470136.7430939227
1778336071,290,,Aggregated,27.700000,1.300000,4400,5400,5700,5900,6300,6600,6800,7000,8600,8600,8600,389,13,4400,4501.967636796935,3.0876189994160086,8613.61931600004,471352.2467866324
1778336072,290,,Aggregated,34.300000,1.300000,4600,5500,5800,6000,6400,6800,7000,7300,8600,8600,8600,412,13,4500,4604.764404992739,3.0876189994160086,8613.61931600004,472262.01699029125
1778336073,290,,Aggregated,38.300000,1.300000,4800,5700,6000,6200,6600,6900,7300,7600,8600,8600,8600,450,13,4800,4765.132469246681,3.0876189994160086,8613.61931600004,473561.3622222222
1778336074,290,,Aggregated,36.000000,1.300000,5100,5900,6200,6300,6800,7000,7300,7800,8600,8600,8600,488,13,5100,4907.790707905752,3.0876189994160086,8613.61931600004,474658.35040983604
1778336075,290,,Aggregated,34.000000,1.300000,5200,5900,6200,6400,6800,7000,7400,7600,8600,8600,8600,522,13,5200,4982.139425743307,3.0876189994160086,8613.61931600004,475504.4846743295
1778336076,290,,Aggregated,36.100000,1.300000,5400,6000,6300,6500,6900,7300,7800,7900,8600,8600,8600,570,13,5400,5103.962139291234,3.0876189994160086,8613.61931600004,476527.1807017544
