Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777573774,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777573775,10,,Aggregated,0.000000,0.000000,490,490,490,490,490,490,490,490,490,490,490,5,0,490,486.45284680005716,481.49284000010084,491.59626199980266,30641.0
1777573776,20,,Aggregated,0.000000,0.000000,480,480,490,490,490,490,490,490,490,490,490,10,0,310,358.48285969987046,194.10543300000427,491.59626199980266,30641.0
1777573777,30,,Aggregated,0.000000,0.000000,280,310,480,490,490,620,620,620,620,620,620,18,0,260,334.8132104999119,194.10543300000427,622.0653300006234,30641.0
1777573778,40,,Aggregated,2.500000,0.000000,620,1500,1800,2700,3600,3700,3700,3700,3700,3700,3700,49,0,620,1209.2353874081616,194.10543300000427,3720.991485000013,30641.0
1777573779,50,,Aggregated,3.333333,0.000000,490,650,1500,1800,2800,3700,3700,3700,3700,3700,3700,67,0,490,991.4859536418238,194.10543300000427,3720.991485000013,30641.0
1777573780,50,,Aggregated,4.500000,0.000000,480,560,720,800,2700,3600,3700,3700,3700,3700,3700,86,0,470,862.004478348893,194.10543300000427,3720.991485000013,30641.0
1777573781,50,,Aggregated,10.000000,0.000000,430,490,620,720,1800,2800,3700,3700,3700,3700,3700,115,0,430,748.2602359739682,194.10543300000427,3720.991485000013,30641.0
1777573782,50,,Aggregated,11.833333,0.000000,420,490,540,650,1800,2800,3700,3700,3700,3700,3700,129,0,420,701.525615573687,139.8652640000364,3720.991485000013,30641.0
1777573783,50,,Aggregated,13.142857,0.000000,400,480,530,620,1800,2800,3700,3700,3700,3700,3700,139,0,400,677.5390896475285,139.8652640000364,3720.991485000013,30641.0
1777573784,50,,Aggregated,14.500000,0.000000,450,520,580,620,970,2700,3700,3700,3700,3700,3700,171,0,450,658.9927385029494,139.8652640000364,3720.991485000013,30641.0
1777573785,50,,Aggregated,14.555556,0.000000,420,500,550,620,800,2700,3700,3700,3700,3700,3700,191,0,420,617.1331590000225,139.8652640000364,3720.991485000013,30641.0
1777573786,50,,Aggregated,15.000000,0.000000,420,490,540,590,800,1800,3600,3700,3700,3700,3700,209,0,420,596.3833957081455,139.8652640000364,3720.991485000013,30641.0
1777573787,50,,Aggregated,17.300000,0.000000,420,470,520,550,760,1800,3600,3700,3700,3700,3700,240,0,410,568.2506221458465,139.8652640000364,3720.991485000013,30641.0
1777573788,50,,Aggregated,18.700000,0.000000,400,460,510,540,750,1800,3600,3700,3700,3700,3700,248,0,400,555.4988678508192,136.29874900016148,3720.991485000013,30641.0
1777573789,50,,Aggregated,20.200000,0.000000,400,460,500,540,740,1800,2800,3700,3700,3700,3700,261,0,400,548.2505869731928,136.29874900016148,3720.991485000013,30641.0
1777573790,50,,Aggregated,22.300000,0.000000,420,480,540,610,830,1700,2800,3700,3700,3700,3700,294,0,420,565.4798403707549,136.29874900016148,3720.991485000013,30641.0
1777573792,50,,Aggregated,19.800000,0.000000,400,470,540,590,820,1700,2800,3700,3700,3700,3700,315,0,400,550.565798549204,136.29874900016148,3720.991485000013,30641.0
1777573793,50,,Aggregated,20.200000,0.000000,410,470,540,600,820,1500,2800,3700,3700,3700,3700,321,0,410,551.7589945576302,136.29874900016148,3720.991485000013,30641.0
1777573794,50,,Aggregated,20.200000,0.000000,430,510,600,670,820,1500,2800,3700,3700,3700,3700,356,0,430,565.0680843820221,136.29874900016148,3720.991485000013,30641.0
1777573795,50,,Aggregated,18.900000,0.000000,430,510,590,650,820,1300,2800,3700,3700,3700,3700,377,0,430,552.9142561034444,136.29874900016148,3720.991485000013,30641.0
1777573796,50,,Aggregated,20.600000,0.000000,430,510,600,660,800,1200,2800,3700,3700,3700,3700,396,0,430,553.2320736363597,136.29874900016148,3720.991485000013,30641.0
1777573797,50,,Aggregated,20.200000,0.000000,430,510,580,640,790,1100,2800,3600,3700,3700,3700,422,0,430,543.1973078056826,136.29874900016148,3720.991485000013,30641.0
1777573798,50,,Aggregated,20.300000,0.000000,420,490,560,620,790,1100,2800,3600,3700,3700,3700,441,0,420,530.1613494217596,136.29874900016148,3720.991485000013,30641.0
1777573799,50,,Aggregated,20.900000,0.000000,430,500,580,620,790,1100,2700,3600,3700,3700,3700,454,0,430,530.6011555110109,136.29874900016148,3720.991485000013,30641.0
1777573800,50,,Aggregated,20.900000,0.000000,430,520,590,640,780,1000,2700,3600,3700,3700,3700,482,0,430,531.5574472531135,136.29874900016148,3720.991485000013,30641.0
1777573801,50,,Aggregated,20.300000,0.000000,420,510,580,630,770,1000,2700,3200,3700,3700,3700,505,0,420,521.8206526752482,136.29874900016148,3720.991485000013,30641.0
1777573802,50,,Aggregated,22.100000,0.000000,420,500,570,620,760,1000,2700,3200,3700,3700,3700,526,0,420,515.2660919068419,136.29874900016148,3720.991485000013,30641.0
1777573803,50,,Aggregated,20.500000,0.000000,420,490,560,610,760,1000,2700,3200,3700,3700,3700,547,0,420,510.69140527422815,136.29874900016148,3720.991485000013,30641.0
1777573804,50,,Aggregated,20.600000,0.000000,410,480,550,600,750,990,1800,3200,3700,3700,3700,571,0,410,502.2965802662041,136.29874900016148,3720.991485000013,30641.0
1777573805,50,,Aggregated,22.500000,0.000000,400,480,540,600,750,970,1800,3200,3700,3700,3700,593,0,400,495.32674147386876,136.29874900016148,3720.991485000013,30641.0
1777573806,50,,Aggregated,21.100000,0.000000,400,470,540,600,750,970,1800,3200,3700,3700,3700,610,0,390,491.2061502295129,136.29874900016148,3720.991485000013,30641.0
1777573807,50,,Aggregated,21.400000,0.000000,390,460,530,580,740,940,1800,3200,3700,3700,3700,637,0,390,482.48849862166986,136.29874900016148,3720.991485000013,30641.0
1777573808,50,,Aggregated,21.200000,0.000000,390,460,530,590,730,860,1800,3200,3700,3700,3700,661,0,390,481.03854357792125,136.29874900016148,3720.991485000013,30641.0
1777573809,50,,Aggregated,20.800000,0.000000,380,460,520,580,730,860,1800,3200,3700,3700,3700,680,0,380,476.87889688677336,136.29874900016148,3720.991485000013,30641.0
1777573810,50,,Aggregated,20.900000,0.000000,380,450,520,570,720,830,1800,2800,3700,3700,3700,701,0,380,471.1526791925898,136.29874900016148,3720.991485000013,30641.0
1777573811,50,,Aggregated,21.900000,0.000000,370,450,510,570,720,830,1800,2800,3700,3700,3700,720,0,370,466.9696711180609,136.29874900016148,3720.991485000013,30641.0
1777573812,50,,Aggregated,21.400000,0.000000,370,450,510,560,710,820,1800,2800,3700,3700,3700,734,0,370,463.7237648119944,136.29874900016148,3720.991485000013,30641.0
1777573813,50,,Aggregated,21.100000,0.000000,380,460,520,580,730,820,1800,2800,3700,3700,3700,764,0,380,470.4573516937213,136.29874900016148,3720.991485000013,30641.0
1777573814,50,,Aggregated,20.900000,0.000000,380,460,520,580,730,820,1800,2800,3700,3700,3700,781,0,380,468.0173071843839,136.29874900016148,3720.991485000013,30641.0
1777573815,50,,Aggregated,20.300000,0.000000,380,460,520,570,730,820,1700,2800,3700,3700,3700,810,0,380,464.954932723465,136.29874900016148,3720.991485000013,30641.0
1777573816,50,,Aggregated,20.300000,0.000000,370,450,510,570,720,810,1700,2800,3700,3700,3700,821,0,370,462.3051058282675,136.29874900016148,3720.991485000013,30641.0
1777573817,50,,Aggregated,20.500000,0.000000,370,450,510,560,720,800,1500,2800,3700,3700,3700,852,0,370,458.9488280234805,136.29874900016148,3720.991485000013,30641.0
1777573818,50,,Aggregated,21.400000,0.000000,370,450,500,560,720,800,1500,2800,3700,3700,3700,869,0,370,454.0246104913751,136.29874900016148,3720.991485000013,30641.0
1777573819,50,,Aggregated,20.600000,0.000000,370,440,500,550,710,800,1500,2800,3700,3700,3700,885,0,370,450.5756410892697,136.29874900016148,3720.991485000013,30641.0
1777573820,50,,Aggregated,21.200000,0.000000,370,440,500,540,710,800,1500,2800,3700,3700,3700,908,0,370,451.3202382753316,136.29874900016148,3720.991485000013,30641.0
1777573821,50,,Aggregated,20.900000,0.000000,370,440,500,540,700,790,1500,2800,3700,3700,3700,931,0,370,450.9237697636953,136.29874900016148,3720.991485000013,30641.0
1777573822,50,,Aggregated,20.200000,0.000000,370,440,490,540,700,790,1500,2800,3700,3700,3700,945,0,370,449.319858629632,136.29874900016148,3720.991485000013,30641.0
1777573823,50,,Aggregated,20.800000,0.000000,370,450,510,560,720,820,1500,2800,3700,3700,3700,972,0,370,456.3210184032922,136.29874900016148,3720.991485000013,30641.0
1777573824,50,,Aggregated,21.200000,0.000000,370,450,500,560,710,820,1500,2800,3700,3700,3700,993,0,370,453.6104921470311,136.29874900016148,3720.991485000013,30641.0
