Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777575165,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777575166,30,,Aggregated,0.000000,0.000000,960,960,1000,1000,1000,1000,1000,1000,1000,1000,1000,4,0,960,969.2112617499333,955.5383340002663,1006.2787409997327,30641.0
1777575167,60,,Aggregated,0.000000,0.000000,1100,1100,1400,1400,1500,1500,1500,1500,1500,1500,1500,44,0,1100,1058.6680072954302,454.1080459994191,1542.6175169995986,82573.72727272728
1777575168,90,,Aggregated,0.000000,0.000000,1200,1400,1500,1500,1600,1700,1700,1800,1800,1800,1800,81,0,1200,1214.3490529505707,454.1080459994191,1799.4209599992246,154766.62962962964
1777575169,120,,Aggregated,16.000000,0.000000,1400,1600,1700,1700,1900,2100,2200,2300,2300,2300,2300,113,0,1400,1389.2311966548361,454.1080459994191,2346.4119690006555,188359.9115044248
1777575170,150,,Aggregated,23.000000,0.000000,1600,1700,2100,2400,2600,2600,2700,2700,2800,2800,2800,144,0,1600,1632.7858499305169,454.1080459994191,2845.3267000004416,163915.59027777778
1777575171,180,,Aggregated,22.250000,0.000000,1700,2300,2600,2600,2800,3000,3100,3200,5800,5800,5800,174,0,1700,1866.312177080429,454.1080459994191,5793.0803750005,185576.2988505747
1777575172,200,,Aggregated,25.600000,0.000000,1900,2600,2800,3000,3400,3800,3900,3900,5800,5800,5800,205,0,1900,2121.7550625951085,454.1080459994191,5793.0803750005,164371.1219512195
1777575173,200,,Aggregated,26.500000,0.000000,2300,2800,3100,3300,3900,4000,4200,4300,5800,5800,5800,227,0,2300,2303.1012350220167,454.1080459994191,5793.0803750005,155426.57709251103
1777575174,200,,Aggregated,27.000000,0.000000,2600,3100,3700,3900,4300,4700,4800,5000,5800,5800,5800,258,0,2600,2571.171311259667,454.1080459994191,5793.0803750005,161688.31395348837
1777575175,200,,Aggregated,25.875000,0.000000,2800,3800,4200,4500,4800,5000,5100,5200,5800,5800,5800,304,0,2800,2918.223805177612,454.1080459994191,5793.0803750005,162903.0855263158
1777575176,200,,Aggregated,26.666667,0.000000,2900,3900,4500,4700,5000,5100,5500,5700,5800,5800,5800,319,0,2900,3033.719538561119,454.1080459994191,5793.0803750005,156679.82131661443
1777575177,200,,Aggregated,27.600000,0.000000,3300,4500,4800,5000,5500,5900,6100,6400,6600,6600,6600,363,0,3300,3365.456470052338,454.1080459994191,6579.678040000545,152726.65013774106
1777575178,200,,Aggregated,31.400000,0.000000,3800,4700,5100,5300,5800,6100,6300,6400,7000,7000,7000,403,0,3800,3595.009076163766,454.1080459994191,6973.423282999647,168957.205955335
1777575179,200,,Aggregated,29.900000,0.000000,4000,4900,5200,5400,5800,6100,6400,6500,7200,7200,7200,424,0,3900,3697.225590268867,454.1080459994191,7169.156826999824,172882.59433962265
1777575180,200,,Aggregated,31.200000,0.000000,4200,5000,5300,5500,5900,6100,6400,6600,7200,7200,7200,450,0,4200,3807.3699601711187,454.1080459994191,7169.156826999824,169735.84666666668
1777575181,200,,Aggregated,32.700000,0.000000,4600,5200,5600,5700,6100,6400,6700,7100,7400,7400,7400,499,0,4600,4032.7339290501136,454.1080459994191,7421.142812000653,186297.19238476953
1777575182,200,,Aggregated,29.900000,0.000000,4700,5200,5600,5800,6200,6400,7000,7300,7600,7600,7600,523,0,4700,4122.399489399627,454.1080459994191,7596.874818000288,194007.1586998088
1777575183,200,,Aggregated,30.300000,0.000000,4800,5300,5700,5800,6200,6500,7100,7300,7600,7600,7600,538,0,4800,4176.61199992194,454.1080459994191,7596.874818000288,201344.34200743496
1777575184,200,,Aggregated,31.800000,0.000000,4900,5500,5700,5900,6300,6700,7100,7400,8600,8600,8600,575,0,4900,4292.009045485223,454.1080459994191,8551.105681999616,195118.26260869566
1777575185,200,,Aggregated,32.700000,0.000000,4900,5600,5800,6000,6500,6800,7300,7400,8600,8600,8600,635,0,4900,4425.715408596851,454.1080459994191,8551.105681999616,193961.91496062992
1777575186,200,,Aggregated,29.900000,0.000000,5000,5600,5800,6100,6500,7000,7400,7900,8700,8700,8700,669,0,5000,4500.051952705536,454.1080459994191,8652.392373000112,194537.35276532138
1777575187,200,,Aggregated,31.900000,0.000000,5000,5600,5800,6000,6500,7000,7400,7900,8700,8700,8700,696,0,5000,4523.653864380752,454.1080459994191,8652.392373000112,190143.6063218391
1777575188,200,,Aggregated,33.700000,0.000000,5000,5500,5800,6000,6500,6900,7400,7900,8800,8800,8800,766,0,5000,4518.023222309404,454.1080459994191,8752.087401999233,180330.19451697127
1777575189,200,,Aggregated,34.200000,0.000000,4900,5500,5800,6000,6400,6900,7400,7900,8800,8800,8800,793,0,4900,4498.9648901298915,454.1080459994191,8752.087401999233,179263.91172761665
1777575190,200,,Aggregated,33.400000,0.000000,4800,5400,5700,5900,6400,6800,7400,7700,8800,8800,8800,834,0,4800,4447.213212086337,454.1080459994191,8752.087401999233,176338.9592326139
1777575191,200,,Aggregated,35.600000,0.000000,4700,5300,5700,5900,6400,6800,7400,7700,8800,8800,8800,886,0,4700,4413.414500434543,454.1080459994191,8752.087401999233,174491.9164785553
1777575192,200,,Aggregated,37.100000,0.000000,4700,5300,5700,5800,6400,6800,7400,7600,8800,8800,8800,915,0,4700,4401.729711953012,454.1080459994191,8752.087401999233,176923.7693989071
1777575193,200,,Aggregated,37.800000,0.000000,4600,5200,5600,5800,6300,6800,7300,7600,8800,8800,8800,952,0,4600,4379.978153192229,454.1080459994191,8752.087401999233,176037.78466386555
1777575194,200,,Aggregated,38.400000,0.000000,4500,5200,5600,5800,6300,6700,7300,7600,8700,8800,8800,1006,0,4500,4366.4770361222645,454.1080459994191,8752.087401999233,176408.34393638172
